"name","era","region","key_figures","characteristics","parent_movement","influenced_by","wikidata_id","wikidata_description","wikipedia_snippet","summary"
"Armenian medieval sculpture","","Medieval Armenia","","","Armenian sculpture; medieval sculpture","","Q122208066","form of medieval art in Armenia","Armenian medieval sculptures are sculptures created in the medieval period. They are most present on or in churches, martyries, and free-standing monuments, such as four-sided stelae and khachkars (cross stones). The popularity of sculpture in the Armenian medieval art was due to midis- a three-layer layout of stones, when two rows of hewn stones were joined with lime mortar, and the surface got an artistic treatment.","The realm of Armenian medieval sculpture embodies a distinctive and captivating form of medieval art, flourishing in the historic region of Medieval Armenia. This era, marked by a profound cultural and artistic resurgence, witnessed the emergence of a unique sculptural tradition that would come to define the aesthetic landscape of the region. As a testament to the ingenuity and craftsmanship of the Armenian people, these medieval sculptures have endured for centuries, offering a fascinating glimpse into the artistic, religious, and cultural practices of a bygone era. The historical origin of Armenian medieval sculpture is deeply rooted in the country's rich cultural heritage, with the earliest examples of these sculptures dating back to the 7th century. As the region's artistic traditions evolved, so too did the techniques and aesthetics that would come to characterize Armenian medieval sculpture.

At the heart of Armenian medieval sculpture lies a distinctive technical approach, known as the ""midis"" method, wherein a three-layer layout of stones is joined with lime mortar, allowing for intricate artistic treatments on the surface. This technique enabled the creation of exquisite works of art, often adorning churches, martyries, and free-standing monuments, such as the iconic khachkars, or cross stones. The aesthetic sensibility of Armenian medieval sculpture is marked by a captivating blend of geometric motifs, floral patterns, and figurative representations, which served to convey the spiritual and theological narratives of the time. While the names of individual sculptors have been largely lost to history, their collective contributions have left an indelible mark on the artistic heritage of the region. The works of these anonymous masters continue to inspire wonder and awe, their techniques and aesthetics influencing generations of artists and artisans.

The lasting impact of Armenian medieval sculpture can be seen in its enduring presence in the cultural and artistic landscape of the region. These sculptures have become an integral part of Armenia's cultural identity, symbolizing the nation's rich history, spiritual heritage, and artistic traditions. As a testament to the genealogical legacy of Armenian medieval sculpture, one can observe the continued evolution of this artistic tradition, as contemporary artists and sculptors draw upon the motifs, techniques, and aesthetics of their medieval predecessors. The study of Armenian medieval sculpture offers a unique window into the cultural, artistic, and historical contexts of Medieval Armenia, inviting scholars and enthusiasts alike to explore the intricate beauty and profound significance of this captivating art form. Through its masterful blend of technique, aesthetics, and spiritual narrative, Armenian medieval sculpture continues to inspire and educate, its influence extending far beyond the boundaries of the region, to enrich our understanding of the medieval art world and its enduring legacy."
"Armory Show","1913","United States; Copley Society of Art; 69th Regiment Armory; Art Institute of Chicago","Armory Show; International Exhibition; Modern Art; American Painters; National Guard; New York City; Regiment Armory; Lexington Avenue","","Fauvism; cubism; Futurism","","Q688909","1913 International Exhibition of Modern Art","The 1913 Armory Show, also known as the International Exhibition of Modern Art, was organized by the Association of American Painters and Sculptors. It was the first large exhibition of modern art in America, as well as one of the many exhibitions that have been held in the vast spaces of U.S. National Guard armories. The three-city exhibition started in New York City's 69th Regiment Armory, on Lexington Avenue between 25th and 26th Streets, from February 17 until March 15, 1913.","The 1913 Armory Show, formally known as the International Exhibition of Modern Art, marked a pivotal moment in the evolution of modern art in the United States. Organized by the Association of American Painters and Sculptors, this groundbreaking exhibition was the first of its kind to showcase an extensive array of modern art in America. Held at the 69th Regiment Armory in New York City, the show's significance extends beyond its inaugural status, as it brought together a diverse range of artistic styles and movements, thereby challenging the conventional norms of the time. As a cultural phenomenon, the Armory Show was a deliberate attempt to introduce American audiences to the avant-garde movements that had been gaining momentum in Europe, thus bridging the transatlantic divide between artistic innovation and traditionalism.

At its core, the Armory Show was a testament to the eclectic and innovative spirit of modern art, featuring over 1,000 works by more than 300 artists. The exhibition's aesthetic was characterized by a bold rejection of representational art, instead embracing a wide range of experimental styles, including Fauvism, Cubism, and Futurism. Key figures such as Marcel Duchamp, Henri Matisse, and Constantin Brancusi were prominently featured, alongside American painters like John Sloan and Marsden Hartley. The show's organizers, including Walt Kuhn and Arthur B. Davies, played a crucial role in shaping the exhibition's trajectory, ensuring that the event would be a watershed moment in the history of American art. The Copley Society of Art and the Art Institute of Chicago, among other institutions, also lent their support to the exhibition, further solidifying its reputation as a beacon of modernity.

The Armory Show's lasting impact on the development of modern art in the United States cannot be overstated. As a genealogical legacy, the exhibition paved the way for future generations of American artists, who would go on to forge their own unique styles and movements. The show's influence can be seen in the subsequent rise of abstract expressionism, pop art, and other avant-garde movements that defined the American art scene in the decades to come. Moreover, the Armory Show's emphasis on innovation and experimentation helped to establish New York City as a hub of artistic innovation, rivaling the cultural capitals of Europe. Today, the 1913 Armory Show is remembered as a landmark event that forever altered the trajectory of American art, its influence still palpable in the vibrant and diverse artistic landscape of the United States. As a testament to the power of artistic innovation, the Armory Show remains an enduring symbol of the transformative potential of modern art."
"Art","","","","","culture; arts; creative work","","Q735","general concept that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work, use Q2018526 for the group of creative disciplines)","Art is a diverse range of cultural activity centered around works utilizing creative or imaginative talents, which are expected to evoke a worthwhile experience, generally through an expression of emotional power, conceptual ideas, technical proficiency, or beauty. There is no generally agreed definition of what constitutes art, and its interpretation has varied greatly throughout history and across cultures. In the Western tradition, the three classical branches of visual art are painting, sculpture, and architecture.","The realm of art is a vast and wondrous expanse, encompassing a diverse array of creative expressions that have captivated human imagination throughout history. As a general concept, art refers to the grouping of creative disciplines (Q2018526) that produce works (Q838948) designed to evoke emotional power, conceptual ideas, technical proficiency, or beauty. The historical origin of art is complex and multifaceted, with roots stretching back to ancient civilizations, where it served as a means of communication, storytelling, and cultural expression. As a cultural activity, art has been centered around the creation of works that utilize creative or imaginative talents, with the expectation of evoking a worthwhile experience in the viewer. Despite the lack of a universally agreed-upon definition, art has consistently played a vital role in shaping human culture and experience, with its interpretation varying greatly across different eras and regions.

At its core, the art movement is characterized by a wide range of techniques, aesthetics, and styles, which have evolved over time and been shaped by various key figures. While it is difficult to pinpoint specific key figures or regions, as the art movement is a broad and eclectic phenomenon, it is clear that the Western tradition has had a profound influence on the development of art. The three classical branches of visual art - painting, sculpture, and architecture - have served as a foundation for many artistic movements and styles, from the classical realism of ancient Greece to the modern experimentation of contemporary artists. The aesthetics of art are equally diverse, encompassing everything from the sublime and beautiful to the provocative and challenging. Through their works, artists have sought to capture the essence of the human experience, exploring themes such as love, loss, and the human condition. By examining the various techniques and aesthetics employed by artists, we can gain a deeper understanding of the art movement and its significance in human culture.

The lasting impact of the art movement is undeniable, with its influence extending far beyond the realm of creative expression. Art has played a significant role in shaping cultural identity, challenging social norms, and inspiring innovation and progress. As a genealogical legacy, art continues to evolve and adapt, incorporating new technologies, styles, and ideas into its ever-expanding canon. The art movement has also had a profound impact on our understanding of human emotion, cognition, and perception, with many artistic works serving as a window into the human experience. As we move forward in time, it is clear that the art movement will continue to play a vital role in shaping human culture and experience, offering a powerful means of expression, communication, and connection. By exploring the rich and complex history of art, we can gain a deeper appreciation for the power and significance of this enduring and ever-evolving creative force."
"Art Deco","1910","France","French Arts; Decorative Arts; International Exhibition; Modern Decorative; Industrial Arts","","decorative art","Société des artistes décorateurs; cubism; Constructivism; functionalism; modern architecture","Q173782","influential visual arts design style which first appeared in France during the 1920s","Art Deco, short for the French Arts décoratifs (lit. 'Decorative Arts'), is a style of visual arts, architecture, and product design that first appeared in Paris in the 1910s just before World War I and flourished internationally during the 1920s to early 1930s, through styling and design of the exterior and interior of anything from large structures to small objects, including clothing, fashion, and jewelry. Art Deco has influenced buildings from skyscrapers to cinemas, bridges, ocean liners, trains, cars, trucks, buses, furniture, and everyday objects, including radios and vacuum cleaners. The name Art Deco came into use after the 1925 Exposition internationale des arts décoratifs et industriels modernes (International Exhibition of Modern Decorative and Industrial Arts) held in Paris.","The dawn of the 20th century marked a pivotal moment in the evolution of visual arts, as the world witnessed the emergence of a revolutionary design style that would come to be known as Art Deco. Originating in France during the 1910s, this influential visual arts design style first gained traction in the 1920s, a period of great cultural and economic transformation. The term ""Art Deco"" is, in fact, a condensed version of the French phrase ""Arts décoratifs,"" which translates to ""Decorative Arts."" This etymological context is crucial in understanding the ethos of the movement, which sought to elevate the status of decorative arts to that of fine arts. The historical origin of Art Deco is deeply rooted in the country's rich cultural heritage, with the movement's early manifestations evident in the works of French artists and designers who sought to break away from traditional norms.

At its core, Art Deco is characterized by a distinctive set of techniques and aesthetics that reflect the era's fascination with modernity, luxury, and technology. The movement's key figures, including designers and artists associated with the French Arts, played a significant role in shaping the visual identity of Art Deco. The 1925 Exposition internationale des arts décoratifs et industriels modernes (International Exhibition of Modern Decorative and Industrial Arts) held in Paris marked a watershed moment in the movement's history, as it brought together the most prominent designers and artists of the time to showcase their works. The exhibition's emphasis on modern decorative and industrial arts helped to solidify Art Deco's reputation as a style that effortlessly blended functionality with elegance. The movement's core techniques, which include the use of geometric shapes, metallic materials, and bold colors, were expertly employed by designers to create a wide range of objects, from furniture and jewelry to buildings and bridges.

The lasting impact of Art Deco on the world of visual arts and design cannot be overstated. As a style that effortlessly bridged the gap between high art and popular culture, Art Deco has left an indelible mark on the genealogical legacy of modern design. From the iconic skyscrapers of Manhattan to the opulent interiors of luxury ocean liners, Art Deco's influence can be seen in a wide range of contexts. Moreover, the movement's emphasis on modernity and innovation has inspired generations of designers, artists, and architects, who continue to draw upon Art Deco's rich visual vocabulary to create new and exciting works. As a testament to its enduring legacy, Art Deco remains a beloved and revered style, one that continues to captivate audiences with its unique blend of elegance, sophistication, and modernist flair. The movement's influence can be seen in various aspects of modern life, from fashion and architecture to product design and visual arts, ensuring its continued relevance in the contemporary cultural landscape."
"Art Nouveau","1890","","New Art","","decorative art","","Q34636","international philosophy and style of art, architecture and applied art","Art Nouveau ( AR(T) noo-VOH; French: [aʁ nuvo] ; lit. 'New Art'), Jugendstil in German, is an international style of art, architecture, and applied art, especially the decorative arts. It was often inspired by natural forms such as the sinuous curves of plants and flowers. Other characteristics of Art Nouveau were a sense of dynamism and movement, often given by asymmetry or whiplash lines, and the use of modern materials, particularly iron, glass, ceramics and later concrete, to create unusual forms and larger open spaces.","The dawn of the 1890s marked the emergence of a revolutionary art movement, aptly termed Art Nouveau, or ""New Art"" in French. This international philosophy and style of art, architecture, and applied art, sought to break free from the shackles of traditional norms, embracing a novel approach to creative expression. Characterized by an unwavering emphasis on innovation and experimentation, Art Nouveau's historical origin can be traced back to the late 19th century, where it gained momentum as a collective response to the rapidly changing world. As an ethos, Art Nouveau embodied the spirit of progress, freedom, and creativity, laying the groundwork for a new era in art and design. Notably, this movement was not confined to a specific region, but rather was a widespread phenomenon that transcended geographical boundaries, with key figures and proponents contributing to its development and dissemination.

At its core, Art Nouveau was defined by a distinctive set of techniques and aesthetics. Inspired by the sinuous curves of plants and flowers, artists and architects of this movement sought to capture the essence of natural forms, often incorporating elements of dynamism and movement into their works. Asymmetry, whiplash lines, and the strategic use of modern materials such as iron, glass, ceramics, and concrete, were hallmark characteristics of Art Nouveau. Key figures, such as the protagonists of the ""New Art"" movement, played a pivotal role in shaping the style's trajectory, pushing the boundaries of conventional art and design. The likes of Victor Horta, Antoni Gaudí, and Louis Comfort Tiffany, among others, left an indelible mark on the movement, their innovative works continuing to inspire awe and admiration. As a testament to the era's fascination with innovation, Art Nouveau's emphasis on modern materials and techniques paved the way for a new wave of artistic experimentation, freeing creators from the constraints of traditional mediums and methods.

The lasting impact of Art Nouveau on the art world is a testament to the movement's enduring legacy. As a genealogical precursor to a range of subsequent art movements, including Art Deco and Modernism, Art Nouveau's influence can be seen in the works of numerous artists and architects who followed in its footsteps. The movement's emphasis on innovation, experimentation, and creative freedom, has continued to inspire generations of artists, designers, and architects, shaping the course of modern art and design. Today, Art Nouveau's iconic works, from the intricate glasswork of Tiffany to the sweeping curves of Gaudí's Sagrada Família, remain a testament to the movement's visionary spirit, a reminder of the power of art to transform and transcend the boundaries of time and space. As a lasting legacy, Art Nouveau's impact on the art world continues to be felt, its influence extending far beyond the realm of art, into the very fabric of modern culture and society."
"Art Nouveau furniture","","","First World War","","","","Q17049684","Furniture style, 1890s to 1914","Furniture created in the Art Nouveau style was prominent from the beginning of the 1890s to the beginning of the First World War in 1914. It characteristically used forms based on nature, such as vines, flowers and water lilies, and featured curving and undulating lines, sometimes known as the whiplash line, both in the form and the decoration. Other common characteristics were asymmetry and polychromy, achieved by inlaying different colored woods.","The Art Nouveau furniture movement, spanning from the 1890s to 1914, was a paradigmatic era in the annals of design history. Emerging during a time of great cultural and technological transformation, this style sought to eschew the traditional and the mundane, instead embracing a novel aesthetic that drew inspiration from the organic and the natural. The historical origin of Art Nouveau furniture can be contextualized within the broader cultural zeitgeist of the late 19th and early 20th centuries, an era marked by a penchant for innovation and experimentation. As a reaction against the rigid and mechanistic tendencies of industrialization, Art Nouveau furniture sought to reintroduce a sense of fluidity and sinuosity into the design landscape. The period preceding the First World War was particularly conducive to the proliferation of this style, as it allowed for a brief yet intense explosion of creative energy, which would eventually be truncated by the onset of global conflict.

The core techniques and aesthetics of Art Nouveau furniture are characterized by a pronounced emphasis on curvilinear forms, often inspired by botanical motifs such as vines, flowers, and water lilies. The whiplash line, a distinctive feature of this style, added a sense of dynamic tension to the design, while the use of asymmetry and polychromy created a sense of visual interest and complexity. Key figures such as Charles Rennie Mackintosh, Louis Comfort Tiffany, and Émile Gallé played a pivotal role in shaping the trajectory of Art Nouveau furniture, each bringing their unique perspective and skillset to the table. The use of inlaying different colored woods to achieve polychromy was a hallmark of this style, allowing designers to create intricate and visually striking patterns that added an extra layer of depth and nuance to their work. The regional context of Art Nouveau furniture was also significant, with cities such as Paris, Vienna, and Glasgow emerging as major hubs for the production and dissemination of this style.

The lasting impact of Art Nouveau furniture on the development of modern design cannot be overstated. As a precursor to the Art Deco and Modernist movements, Art Nouveau laid the groundwork for a more minimalist and functional approach to design, while its emphasis on organic forms and natural motifs continues to influence contemporary design practices. The genealogical legacy of Art Nouveau furniture can be seen in the work of later designers, who have drawn upon its aesthetic and technical innovations to create new and innovative forms. Despite the truncation of the Art Nouveau movement by the onset of the First World War, its influence can still be felt today, a testament to the enduring power and allure of this singular and captivating style. As a cultural and historical phenomenon, Art Nouveau furniture remains an essential component of our shared design heritage, a reminder of the transformative potential of creativity and imagination in shaping the world around us."
"Art Nouveau in Milan","1900","Italy","First World War; Stile Liberty; French Art Nouveau; German Jugendstil","","Stile Liberty; art of Milan","","Q660311","","Art Nouveau in Milan indicates the spread of such artistic style in the city of Milan between the early years of the 20th century and the outbreak of the First World War. In the Lombard capital, art nouveau, called Stile Liberty in Italian, found—thanks to its close relationship with the rampant industrial bourgeoisie of the time—a fertile ground for its rapid development, during which it oscillated between the influences of French Art Nouveau, German Jugendstil and eclecticism. At the beginning of the 20th century the Milanese bourgeois class, formed as a result of industrialization and already becoming masters of the social and economic life of the city, found in the new liberty style a ""symbol of status"" and the occasion to show its power and at the same time underline the clear departure from the noble class and its neoclassical and baroque residences.","The dawn of the 20th century marked a pivotal moment in the artistic landscape of Milan, as the city emerged as a hub for the Art Nouveau movement. During this period, the Lombard capital witnessed a profusion of innovative and avant-garde designs, which would come to be known as Stile Liberty in Italian. The term ""Liberty"" was coined in reference to the iconic London department store, Liberty & Co., which was renowned for its exotic and eclectic merchandise. As Milan's industrial bourgeoisie continued to flourish, they found in Art Nouveau a means of expressing their newfound wealth and status, thereby distinguishing themselves from the noble class and their traditional neoclassical and baroque residences. This cultural and artistic phenomenon was deeply rooted in the city's historical context, with the onset of the First World War serving as a catalyst for the movement's development.

The Art Nouveau movement in Milan was characterized by its unique blend of French Art Nouveau, German Jugendstil, and eclecticism. Key figures of the era, such as Giuseppe Sommaruga and Giovanni Battista Bossi, played a crucial role in shaping the aesthetic landscape of the city. Their designs, often featuring sinuous lines, flowing curves, and organic forms, reflected the influence of international Art Nouveau styles. The Stile Liberty movement also drew inspiration from the natural world, with motifs such as flowers, leaves, and birds appearing frequently in architectural and decorative designs. As the movement evolved, it began to incorporate elements of modernity and industrialization, resulting in a distinctive visual language that was both elegant and innovative. The interplay between these diverse influences gave rise to a unique Milanese variant of Art Nouveau, one that was marked by its own distinct flavor and character.

The Art Nouveau movement in Milan has left an enduring legacy, with its influence still palpable in the city's architectural and design landscape. The Stile Liberty style, with its emphasis on elegance, refinement, and innovation, continues to inspire contemporary artists and designers. Moreover, the movement's focus on industrialization and modernity has had a lasting impact on the development of Milan as a hub for design and technology. As a testament to its significance, many of the city's Art Nouveau buildings and landmarks have been meticulously preserved, serving as a reminder of the movement's enduring cultural and artistic significance. Today, the Art Nouveau movement in Milan remains an essential part of the city's cultural heritage, a testament to the power of artistic innovation and the enduring legacy of a bygone era."
"Art for art's sake","","","","","","","Q772046","art without any didactic, moral, or utilitarian function","Art for art's sake—the usual English rendering of l'art pour l'art (pronounced [laʁ puʁ laʁ]), a French slogan from the latter half of the 19th century—is a phrase that expresses the philosophy that 'true' art is utterly independent of all social values and utilitarian functions, be they didactic, moral, or political. Such works are sometimes described as autotelic (from Greek: autoteles, 'complete in itself'), a concept also applied to ""inner-directed"" or ""self-motivated"" persons. The phrase is sometimes used commercially.","The art movement of ""Art for art's sake"" emerged in the latter half of the 19th century, primarily in France, as a philosophical and aesthetic response to the burgeoning industrialization and commercialization of art. This era witnessed a significant shift in the way art was perceived, created, and consumed, with many artists and intellectuals grappling with the notion of art's purpose and value in society. The phrase ""l'art pour l'art,"" coined by French writers and critics, such as Théophile Gautier and Charles Baudelaire, encapsulates the idea that true art is autonomous, self-sufficient, and independent of external factors, including moral, didactic, or utilitarian functions. This ethos, rooted in the concept of autotelic art, posits that a work of art is complete in itself, requiring no external justification or purpose beyond its own existence.

At its core, ""Art for art's sake"" is characterized by a focus on the inherent qualities of art, such as form, color, and composition, rather than its representational or narrative content. Key figures associated with this movement, including James McNeill Whistler, Edgar Degas, and Claude Monet, experimented with innovative techniques and aesthetics, pushing the boundaries of traditional art forms. Their works often featured dreamlike, abstract, or fantastical elements, which served to underscore the idea that art could be appreciated and valued solely for its intrinsic beauty and emotional resonance. The movement's emphasis on artistic expression and creative freedom also led to the development of new styles and genres, such as Impressionism and Symbolism, which further expanded the possibilities of art and challenged conventional notions of beauty and taste.

The legacy of ""Art for art's sake"" can be seen in the numerous avant-garde movements that followed, from Expressionism to Surrealism, and beyond. The idea that art could be a self-contained, autonomous entity, unencumbered by external expectations or constraints, has had a lasting impact on modern and contemporary art. The movement's emphasis on creative freedom, experimentation, and innovation has inspired generations of artists, from Picasso to Warhol, to push the boundaries of art and challenge societal norms and conventions. Furthermore, the concept of autotelic art has influenced fields beyond art, including literature, music, and film, highlighting the enduring relevance and significance of ""Art for art's sake"" as a philosophical and aesthetic principle. Today, this movement remains a touchstone for artists, critics, and scholars, reminding us of the transformative power of art to inspire, provoke, and delight, solely for its own sake."
"Art in the Protestant Reformation and Counter-Reformation","","","The Protestant Reformation; High Renaissance; The Lutheran","","","","Q7760032","","The Protestant Reformation during the 16th century in Europe almost entirely rejected the existing tradition of Catholic art, and very often destroyed as much of it as it could reach.  A new artistic tradition developed, producing far smaller quantities of art that followed Protestant agendas and diverged drastically from the southern European tradition and the humanist art produced during the High Renaissance.  The Lutheran churches, as they developed, accepted a limited role for larger works of art in churches, and also encouraged prints and book illustrations.","The Protestant Reformation, which swept across 16th century Europe, had a profound impact on the art world, precipitating a seismic shift in the way art was perceived, created, and consumed. This pivotal moment in history marked a significant departure from the traditional Catholic art that had dominated the continent for centuries. The ethos of the Reformation, with its emphasis on individual interpretation of scripture and rejection of ecclesiastical authority, led to a radical reevaluation of the role of art in religious worship. As a result, a new artistic tradition began to emerge, one that was characterized by a more austere and simplified aesthetic, which diverged starkly from the grandeur and ornamentation of the High Renaissance. The Protestant Reformation's rejection of Catholic art was not limited to style, but also extended to the production and dissemination of art, with many existing works being destroyed or repurposed.

At the heart of this new artistic movement were key figures such as Lucas Cranach the Elder and Albrecht Dürer, who pioneered the use of printmaking and book illustrations as a means of disseminating Protestant ideologies. The Lutheran churches, in particular, played a significant role in shaping this new artistic tradition, encouraging the creation of prints and book illustrations that could be easily reproduced and distributed. The core techniques employed by these artists were characterized by a focus on simplicity, clarity, and didacticism, with an emphasis on conveying moral and theological messages. Aesthetically, the art of the Protestant Reformation was marked by a more subdued color palette, a emphasis on line and form, and a rejection of the elaborate ornamentation and iconography of Catholic art. The High Renaissance, with its humanist ideals and classical influences, was seen as a rival aesthetic, one that was perceived as decadent and corrupt. The Protestant Reformation's artistic movement, on the other hand, sought to create a more humble and devotional form of art, one that was grounded in scripture and the everyday lives of believers.

The lasting impact of the Protestant Reformation on the art world cannot be overstated. The Reformation's emphasis on individual interpretation and personal devotion helped to lay the groundwork for a more diverse and pluralistic artistic landscape, one in which artists were free to explore new themes, styles, and forms. The genealogical legacy of this movement can be seen in the subsequent development of Protestant art, which continued to evolve and adapt over the centuries, influencing everything from the iconography of Lutheran churches to the aesthetic of modern Christian art. Today, the art of the Protestant Reformation remains an important part of our cultural heritage, a testament to the enduring power of art to shape and reflect the values and beliefs of a given society. As such, it continues to be an important area of study for art historians, theologians, and scholars of cultural studies, offering a unique window into the complex and often fraught history of art and religion in the Western world."
"Art in the Streets","","","Contemporary Art Los; Jeffrey Deitch; Aaron Rose; Roger Gastman; New York City; West Coast; Los Angeles; Brooklyn Museum","","","","Q16740175","exhibition held at the Museum of Contemporary Art, Los Angeles from April 17 to August 8, 2011","Art in the Streets was an exhibition held at the Museum of Contemporary Art Los Angeles from April 17 to August 8, 2011. Curated by its then-director Jeffrey Deitch and associate curators Aaron Rose and Roger Gastman, it surveyed the development of graffiti and global street art from the 1970s to the present, covering the cities of New York City, the West Coast, London, and São Paulo with a focus on Los Angeles. It was supposed to travel to the Brooklyn Museum from March 30 to July 8, 2012.","The art movement known as Art in the Streets, which culminated in a seminal exhibition at the Museum of Contemporary Art, Los Angeles, from April 17 to August 8, 2011, represents a pivotal moment in the evolution of contemporary art. This era-defining movement, curated by the museum's then-director Jeffrey Deitch and associate curators Aaron Rose and Roger Gastman, sought to chronicle the development of graffiti and street art from the 1970s to the present. By tracing the historical trajectory of this movement, we can gain a deeper understanding of the sociocultural contexts that gave rise to it, as well as the key figures who helped shape its aesthetic and ethos. The exhibition's focus on cities such as New York City, the West Coast, London, and São Paulo, with a particular emphasis on Los Angeles, underscores the movement's global reach and diversity.

At its core, Art in the Streets is characterized by a distinctive set of techniques and aesthetics that reflect the movement's origins in urban graffiti and street art. The exhibition featured a wide range of works, from large-scale murals and installations to more intimate, mixed-media pieces, all of which showcased the movement's emphasis on experimentation, creativity, and community engagement. Key figures such as Jeffrey Deitch, Aaron Rose, and Roger Gastman played a crucial role in shaping the movement's trajectory, while artists from diverse backgrounds and geographical locations contributed to its rich cultural tapestry. The exhibition's coverage of cities such as New York City and Los Angeles highlighted the unique styles and sensibilities that emerged in each urban context, from the raw energy of East Coast hip-hop to the laid-back, sun-drenched vibe of West Coast skate culture. By examining the core techniques and aesthetics of Art in the Streets, we can gain a deeper appreciation for the movement's innovative spirit and its enduring influence on contemporary art.

The Art in the Streets exhibition has had a lasting impact on the art world, helping to legitimize street art and graffiti as recognized forms of contemporary art. The movement's genealogical legacy can be seen in the many artists who have been inspired by its emphasis on experimentation, community engagement, and creative risk-taking. Although the exhibition was originally scheduled to travel to the Brooklyn Museum from March 30 to July 8, 2012, its influence extends far beyond the confines of any single institution or location. As a testament to the movement's enduring relevance, Art in the Streets continues to inspire new generations of artists, curators, and art enthusiasts, ensuring its place in the annals of art history as a pivotal moment in the evolution of contemporary art. By examining the movement's historical origins, core techniques, and lasting impact, we can gain a deeper understanding of the complex, multifaceted nature of Art in the Streets and its ongoing influence on the art world."
"Art manifesto","","","","of the various movements in the modernist avant-garde and are still written today","manifesto; literature","","Q4797221","public declaration of the intentions, motives, or views of an artist or artistic movement","An art manifesto is a public declaration of the intentions, motives, or views of an artist or artistic movement. Manifestos are a standard feature of the various movements in the modernist avant-garde and are still written today. Art manifestos are sometimes in their rhetoric intended for shock value, to achieve a revolutionary effect.","The art manifesto, a pivotal phenomenon in the trajectory of modern art, has been a cornerstone of avant-garde movements, allowing artists to proclaim their intentions, motivations, and perspectives to a broader audience. Emerging as a distinct entity in the early 20th century, the art manifesto has its historical origins in the fervent climate of revolutionary thought and artistic innovation that defined this era. As a public declaration, the manifesto has been employed by artists and movements as a means of asserting their unique vision, often with the intention of shocking the status quo and instigating a paradigm shift in the art world. By examining the ethos and historical context of the art manifesto, it becomes evident that this phenomenon is deeply intertwined with the evolution of modern art, serving as a catalyst for the development of novel aesthetics, techniques, and ideologies.

At its core, the art manifesto is characterized by its emphasis on bold, unapologetic declarations that often challenge conventional norms and artistic conventions. Key figures such as Marcel Duchamp, Tristan Tzara, and André Breton have all contributed to the rich tapestry of art manifestos, each imbuing their respective movements with a unique set of techniques, aesthetics, and philosophies. The Dada movement, for instance, with its emphasis on irreverence and randomness, spawned a plethora of manifestos that sought to subvert traditional notions of art and reality. Similarly, the Surrealist movement, with its focus on the subconscious and the world of dreams, produced manifestos that explored the realms of the irrational and the unknown. Through these manifestos, artists have been able to distill their creative visions, broadcasting them to a wider audience and, in the process, shaping the course of art history.

The art manifesto's lasting impact on the art world is undeniable, with its influence extending far beyond the confines of the early 20th century. As a genre, the manifesto has continued to evolve, adapting to the changing artistic landscape and incorporating novel themes, styles, and mediums. The legacy of the art manifesto can be seen in the numerous movements that have followed in its wake, from the Situationist International to the contemporary art world, where manifestos continue to be written and disseminated. As a testament to the enduring power of the art manifesto, its genealogical legacy can be observed in the work of artists, curators, and critics who continue to engage with the ideas, aesthetics, and ideologies that these documents embody. Ultimately, the art manifesto remains an essential component of the art world, serving as a platform for artists to express their visions, challenge the status quo, and shape the future of art."
